mode,query_id,status,best_round,acc_raw,macro_F1,positive_F1,lambda_hat,defer_count,total,defer_pct,acc_final,risk_accept_wrong,err_accept,teacher_train_calls,teacher_defer_calls,summary_path,round1_summary_path,round0_summary_path
per_query_independent,select100,complete,1,0.8823529411764706,0.46875,0.0,1.01,17,17,100.0,1.0,0.0,0.0,4,13,experiments/runs/lrobench_cross_query/per_query_independent/select100/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select100/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select100/round_0/round_summary.json
per_query_independent,select101,complete,1,0.375,0.2727272727272727,0.0,1.01,8,8,100.0,1.0,0.0,0.0,2,6,experiments/runs/lrobench_cross_query/per_query_independent/select101/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select101/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select101/round_0/round_summary.json
per_query_independent,select102,complete,1,0.8478260869565217,0.4588235294117647,0.0,1.01,46,46,100.0,1.0,0.0,0.0,10,36,experiments/runs/lrobench_cross_query/per_query_independent/select102/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select102/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select102/round_0/round_summary.json
per_query_independent,select103,complete,1,0.8518518518518519,0.46,0.0,1.01,27,27,100.0,1.0,0.0,0.0,7,20,experiments/runs/lrobench_cross_query/per_query_independent/select103/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select103/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select103/round_0/round_summary.json
per_query_independent,select104,complete,1,0.625,0.38461538461538464,0.7692307692307693,1.01,8,8,100.0,1.0,0.0,0.0,2,6,experiments/runs/lrobench_cross_query/per_query_independent/select104/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select104/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select104/round_0/round_summary.json
per_query_independent,select105,complete,1,0.9310344827586207,0.48214285714285715,0.0,0.62,56,58,96.55172413793103,1.0,0.0,0.0,10,46,experiments/runs/lrobench_cross_query/per_query_independent/select105/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select105/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select105/round_0/round_summary.json
per_query_independent,select106,complete,1,0.4,0.28571428571428575,0.0,1.01,10,10,100.0,1.0,0.0,0.0,3,7,experiments/runs/lrobench_cross_query/per_query_independent/select106/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select106/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select106/round_0/round_summary.json
per_query_independent,select107,complete,1,0.9591836734693877,0.4895833333333333,0.0,1.01,49,49,100.0,1.0,0.0,0.0,10,39,experiments/runs/lrobench_cross_query/per_query_independent/select107/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select107/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select107/round_0/round_summary.json
per_query_independent,select108,complete,1,0.8823529411764706,0.46875,0.0,1.01,17,17,100.0,1.0,0.0,0.0,4,13,experiments/runs/lrobench_cross_query/per_query_independent/select108/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select108/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select108/round_0/round_summary.json
per_query_independent,select109,complete,1,0.25,0.2,0.0,1.01,8,8,100.0,1.0,0.0,0.0,2,6,experiments/runs/lrobench_cross_query/per_query_independent/select109/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select109/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select109/round_0/round_summary.json
