query_id,independent_defer_pct,transfer_defer_pct,delta_defer_pct_transfer_minus_independent,independent_macro_F1,transfer_macro_F1,delta_macro_F1_transfer_minus_independent,independent_risk_accept_wrong,transfer_risk_accept_wrong,independent_lambda_hat,transfer_lambda_hat
select115,100.0,100.0,0.0,0.4042553191489362,0.4042553191489362,0.0,0.0,0.0,1.01,1.01
select116,100.0,100.0,0.0,0.46875,0.46875,0.0,0.0,0.0,1.01,1.01
select117,66.25,70.0,3.75,0.4838709677419355,0.4838709677419355,0.0,0.0125,0.0125,0.59,0.55
select118,100.0,100.0,0.0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,1.01,1.01
select119,100.0,100.0,0.0,0.48717948717948717,0.48717948717948717,0.0,0.0,0.0,1.01,1.01
select120,100.0,100.0,0.0,0.525691699604743,0.047619047619047616,-0.47807265198569543,0.0,0.0,1.01,1.01
select121,100.0,100.0,0.0,0.4736842105263158,0.4736842105263158,0.0,0.0,0.0,1.01,1.01
select122,100.0,100.0,0.0,0.45945945945945943,0.45945945945945943,0.0,0.0,0.0,1.01,1.01
select123,100.0,100.0,0.0,0.45,0.45,0.0,0.0,0.0,1.01,1.01
select124,100.0,100.0,0.0,0.45,0.45,0.0,0.0,0.0,1.01,1.01
select125,100.0,100.0,0.0,0.45945945945945943,0.45945945945945943,0.0,0.0,0.0,1.01,1.01
select126,100.0,100.0,0.0,0.393939393939394,0.393939393939394,0.0,0.0,0.0,1.01,1.01
select127,100.0,100.0,0.0,0.4242424242424242,0.4242424242424242,0.0,0.0,0.0,1.01,1.01
select128,100.0,100.0,0.0,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,1.01,1.01
select129,100.0,100.0,0.0,0.40789473684210525,0.40789473684210525,0.0,0.0,0.0,1.01,1.01
