row_id,group,dataset_query,model,method,train_n,base_bias,counter_bias_label,counter_bias_n,counter_bias_pct,train_yes_n,train_no_n,train_yes_pct,train_no_pct,accept_n,defer_n,accept_pct,defer_pct,train_base_error_pct,source_train
IMDb full-test | IMDb q1 | pool-random,IMDb full-test,IMDb q1,Qwen3-0.6B,pool-random,2500,yes,no,1231,49.24,1269,1231,50.76,49.24,1499,1001,59.96,40.04,49.2,experiments/inputs/imdb/query_id_1/qwen06b_full_guide1000_seed42_T10_alpha010_train2500_two_methods_seed1/seed1/pool_random_2500_seed1.train_rows.jsonl
IMDb full-test | IMDb q1 | ns-error-mass,IMDb full-test,IMDb q1,Qwen3-0.6B,ns-error-mass,2500,yes,no,2316,92.64,184,2316,7.36,92.64,819,1681,32.76,67.24,92.6,experiments/inputs/imdb/query_id_1/qwen06b_full_guide1000_seed42_T10_alpha010_train2500_two_methods_seed1/seed1/ns_error_mass_2500_seed1.train_rows.jsonl
IMDb full-test | IMDb q2 | pool-random,IMDb full-test,IMDb q2,Qwen3-0.6B,pool-random,2500,yes,no,1805,72.2,695,1805,27.8,72.2,697,1803,27.88,72.12,72.2,experiments/inputs/imdb/query_id_2/qwen06b_full_guide1000_seed42_T10_alpha010_train2500_two_methods_seed1/seed1/pool_random_2500_seed1.train_rows.jsonl
IMDb full-test | IMDb q2 | ns-error-mass,IMDb full-test,IMDb q2,Qwen3-0.6B,ns-error-mass,2500,yes,no,1975,79.0,525,1975,21.0,79.0,577,1923,23.08,76.92,79.0,experiments/inputs/imdb/query_id_2/qwen06b_full_guide1000_seed42_T10_alpha010_train2500_two_methods_seed1/seed1/ns_error_mass_2500_seed1.train_rows.jsonl
Base-correct/wrong control | Codebase q1 | base-correct-balanced,Base-correct/wrong control,Codebase q1,Qwen3-0.6B,base-correct-balanced,500,yes,no,250,50.0,250,250,50.0,50.0,,,,,0.0,experiments/inputs/codebase/query_id_1/qwen06b_round0_correct_balanced500_seed1/seed1/base_correct_balanced_500_seed1.train_rows.jsonl
Base-correct/wrong control | Codebase q2 | base-correct-random,Base-correct/wrong control,Codebase q2,Qwen3-0.6B,base-correct-random,500,yes,no,4,0.8,496,4,99.2,0.8,,,,,0.0,experiments/inputs/codebase/query_id_2/qwen06b_round0_correct_wrong_train500_seed1/seed1/base_correct_random_500_seed1.train_rows.jsonl
Base-correct/wrong control | Codebase q2 | base-wrong-random,Base-correct/wrong control,Codebase q2,Qwen3-0.6B,base-wrong-random,500,yes,no,500,100.0,0,500,0.0,100.0,,,,,100.0,experiments/inputs/codebase/query_id_2/qwen06b_round0_correct_wrong_train500_seed1/seed1/base_wrong_random_500_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=1500 | pool-random,FEVER 0.6B budget,FEVER n=1500,Qwen3-0.6B,pool-random,1500,no,yes,785,52.33,785,715,52.33,47.67,434,1066,28.93,71.07,46.33,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/pool_random_1500_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=1500 | ns-error-mass,FEVER 0.6B budget,FEVER n=1500,Qwen3-0.6B,ns-error-mass,1500,no,yes,992,66.13,992,508,66.13,33.87,380,1120,25.33,74.67,65.6,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/ns_error_mass_1500_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=3000 | pool-random,FEVER 0.6B budget,FEVER n=3000,Qwen3-0.6B,pool-random,3000,no,yes,1568,52.27,1568,1432,52.27,47.73,848,2152,28.27,71.73,47.57,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/pool_random_3000_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=3000 | ns-error-mass,FEVER 0.6B budget,FEVER n=3000,Qwen3-0.6B,ns-error-mass,3000,no,yes,2041,68.03,2041,959,68.03,31.97,760,2240,25.33,74.67,67.37,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/ns_error_mass_3000_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=4500 | pool-random,FEVER 0.6B budget,FEVER n=4500,Qwen3-0.6B,pool-random,4500,no,yes,2366,52.58,2366,2134,52.58,47.42,1262,3238,28.04,71.96,47.44,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/pool_random_4500_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=4500 | ns-error-mass,FEVER 0.6B budget,FEVER n=4500,Qwen3-0.6B,ns-error-mass,4500,no,yes,3073,68.29,3073,1427,68.29,31.71,1140,3360,25.33,74.67,67.6,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/ns_error_mass_4500_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=6000 | pool-random,FEVER 0.6B budget,FEVER n=6000,Qwen3-0.6B,pool-random,6000,no,yes,3145,52.42,3145,2855,52.42,47.58,1670,4330,27.83,72.17,47.55,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/pool_random_6000_seed1.train_rows.jsonl
FEVER 0.6B budget | FEVER n=6000 | ns-error-mass,FEVER 0.6B budget,FEVER n=6000,Qwen3-0.6B,ns-error-mass,6000,no,yes,4092,68.2,4092,1908,68.2,31.8,1520,4480,25.33,74.67,67.48,experiments/inputs/fever/qwen06b_round0_t1_alpha010_budget_sweep_1500_9000_seed1/seed1/ns_error_mass_6000_seed1.train_rows.jsonl
