test_set,train_size,train_set,config,lr,epochs,rank,alpha,layer_scope,train_loss,n,acc,f1,precision,recall,pred_pos_rate,tp,fp,fn,tn,train_root,pred_path
balanced_seed1,0,base,base qwen3-0.6b,,0,0,0,none,,10000,0.534,0.21890714046262152,0.6759834368530021,0.1306,0.0966,653,313,4347,4687,,experiments/inputs/fever/round_0/all_student_predictions.jsonl
balanced_seed1,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,2.1847450774908066,10000,0.4879,0.6523657592831443,0.4937827561401706,0.961,0.9731,4805,4926,195,74,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_sweep500/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,full_random_balanced_500_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,2.134501279115677,10000,0.4882,0.6524042379788101,0.4939325380501851,0.9606,0.9724,4803,4921,197,79,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_sweep500/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e2_r1_a16_last1,1e-05,2,1,16,last1,20.428758895874022,10000,0.4957,0.6583564799132849,0.4977973568281938,0.9718,0.9761,4859,4902,141,98,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha16_last1_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha16_last1_sweep500/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,full_random_balanced_500_seed1,lr1e-5_e2_r1_a16_last1,1e-05,2,1,16,last1,20.41435669708252,10000,0.4962,0.660329018338727,0.49806753458096015,0.9794,0.9832,4897,4935,103,65,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha16_last1_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha16_last1_sweep500/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,11.049698295593261,10000,0.4913,0.6551887751643733,0.49553983389726236,0.9666,0.9753,4833,4920,167,80,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha8_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha8_sweep500/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,full_random_balanced_500_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,10.950857326507569,10000,0.4899,0.6527806139813491,0.49478897946548345,0.959,0.9691,4795,4896,205,104,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha8_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha8_sweep500/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e3_r1_a16_all,1e-05,3,1,16,all,0.3282872489094734,10000,0.4812,0.641365961565049,0.4900697232199451,0.9278,0.9466,4639,4827,361,173,experiments/runs/fever_balanced_lora_06b_lr1e5_r1_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_r1_sweep500/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,full_random_balanced_500_seed1,lr1e-5_e3_r1_a16_all,1e-05,3,1,16,all,0.2879992907196283,10000,0.4856,0.648297552304116,0.49252025763557034,0.9482,0.9626,4741,4885,259,115,experiments/runs/fever_balanced_lora_06b_lr1e5_r1_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e5_r1_sweep500/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,500,accept15_defer85_basepred_label_quad_balanced_500_seed1,lr5e-6_halfepoch_r1_a8_all_quad500,5e-06,0.5,1,8,all,21.144294815063475,10000,0.4954,0.6596519627681101,0.49765927132098514,0.978,0.9826,4890,4936,110,64,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500/accept15_defer85_basepred_label_quad_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500_eval/balanced_seed1/accept15_defer85_basepred_label_quad_balanced_500_seed1/round_1/pool_student_predictions.jsonl
