family,dataset,query_id,model,train_n,method,base_bias_direction,base_round0_pred_yes_pct,counter_label,train_counterexample_n,train_counterexample_pct,train_label0_n,train_label1_n,train_label_yes_pct,train_base_error_pct,test_n,test_label_yes_pct,eval_pred_yes_pct,acc_pct,macro_f1_pct,source,delta_macro_f1_vs_random
low_resource_50_250,codebase,q1,Qwen3-0.6B,250,random,pred_yes,93.81587438158743,0,221,88.4,221,29,11.6,81.6,7670,6.375488917861799,9.308996088657105,94.4589,80.8327,experiments/inputs/codebase/query_id_1/qwen06b_full_guide200_seed42_T10_alpha010_train250_random_crc_seed1/seed1/random_250_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q1,Qwen3-0.6B,250,crc-error-mass,pred_yes,93.81587438158743,0,219,87.6,219,31,12.4,77.6,7670,6.375488917861799,4.576271186440678,95.3064,77.33,experiments/inputs/codebase/query_id_1/qwen06b_full_guide200_seed42_T10_alpha010_train250_random_crc_seed1/seed1/crc_error_mass_250_seed1.train_rows.jsonl,-3.5027000000000044
low_resource_50_250,codebase,q1,Qwen3-0.6B,125,random,pred_yes,93.81587438158743,0,96,76.8,96,29,23.2,70.4,7670,6.375488917861799,11.994784876140809,91.9296,75.8124,experiments/inputs/codebase/query_id_1/qwen06b_full_guide200_seed42_T10_alpha010_train125_random_crc_seed1/seed1/random_125_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q1,Qwen3-0.6B,125,crc-error-mass,pred_yes,93.81587438158743,0,94,75.2,94,31,24.8,55.2,7670,6.375488917861799,3.924380704041721,94.5502,72.1079,experiments/inputs/codebase/query_id_1/qwen06b_full_guide200_seed42_T10_alpha010_train125_random_crc_seed1/seed1/crc_error_mass_125_seed1.train_rows.jsonl,-3.704499999999996
low_resource_50_250,codebase,q1,Qwen3-0.6B,50,random,pred_yes,93.81587438158743,0,21,42.0,21,29,58.0,38.0,7670,6.375488917861799,16.910039113428944,87.2751,69.076,experiments/inputs/codebase/query_id_1/qwen06b_full_guide200_seed42_T10_alpha010_train50_random_crc_seed1/seed1/random_50_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q1,Qwen3-0.6B,50,crc-error-mass,pred_yes,93.81587438158743,0,19,38.0,19,31,62.0,26.0,7670,6.375488917861799,15.814863102998697,87.7966,69.0713,experiments/inputs/codebase/query_id_1/qwen06b_full_guide200_seed42_T10_alpha010_train50_random_crc_seed1/seed1/crc_error_mass_50_seed1.train_rows.jsonl,-0.004699999999999704
low_resource_50_250,codebase,q2,Qwen3-0.6B,250,random,pred_yes,99.45149494514949,0,87,34.8,87,163,65.2,34.8,7678,62.1385777546236,69.7968220890857,78.8226,76.4175,experiments/inputs/codebase/query_id_2/qwen06b_full_guide200_seed42_T10_alpha010_train250_random_crc_seed1/seed1/random_250_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q2,Qwen3-0.6B,250,crc-error-mass,pred_yes,99.45149494514949,0,91,36.4,91,159,63.6,36.4,7678,62.1385777546236,58.68715811409221,78.9919,78.0395,experiments/inputs/codebase/query_id_2/qwen06b_full_guide200_seed42_T10_alpha010_train250_random_crc_seed1/seed1/crc_error_mass_250_seed1.train_rows.jsonl,1.6219999999999999
low_resource_50_250,codebase,q2,Qwen3-0.6B,125,random,pred_yes,99.45149494514949,0,39,31.2,39,86,68.8,32.0,7678,62.1385777546236,87.07996874185986,70.8388,61.5162,experiments/inputs/codebase/query_id_2/qwen06b_full_guide200_seed42_T10_alpha010_train125_random_crc_seed1/seed1/random_125_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q2,Qwen3-0.6B,125,crc-error-mass,pred_yes,99.45149494514949,0,41,32.8,41,84,67.2,32.8,7678,62.1385777546236,72.31049752539724,75.0847,71.7297,experiments/inputs/codebase/query_id_2/qwen06b_full_guide200_seed42_T10_alpha010_train125_random_crc_seed1/seed1/crc_error_mass_125_seed1.train_rows.jsonl,10.213499999999996
