dataset,query_id,train_n,best_method,best_counterexample_n,worse_counterexample_n,best_has_more_counterexamples,best_eval_pred_yes_pct,worse_eval_pred_yes_pct,best_macro_f1_pct,worse_macro_f1_pct,macro_f1_gap
codebase,q1,50,random,21,19,是,16.910039113428944,15.814863102998697,69.076,69.0713,0.004699999999999704
codebase,q1,125,random,96,94,是,11.994784876140809,3.924380704041721,75.8124,72.1079,3.704499999999996
codebase,q1,250,random,221,219,是,9.308996088657105,4.576271186440678,80.8327,77.33,3.5027000000000044
codebase,q2,50,crc-error-mass,13,14,否,68.70278718416255,75.90518364157333,68.9105,66.8481,2.0623999999999967
codebase,q2,125,crc-error-mass,41,39,是,72.31049752539724,87.07996874185986,71.7297,61.5162,10.213499999999996
codebase,q2,250,crc-error-mass,91,87,是,58.68715811409221,69.7968220890857,78.0395,76.4175,1.6219999999999999
codebase,q3,50,random,42,38,是,0.01303780964797914,0.01303780964797914,42.5769,42.5769,0.0
codebase,q3,125,random,94,98,否,0.20860495436766624,0.05215123859191656,42.685,42.564,0.12100000000000222
codebase,q3,250,random,188,192,否,5.814863102998697,2.5814863102998697,56.0601,50.6469,5.413199999999996
twitter_hate,q1,50,random,11,17,否,87.38036322890892,45.36626359774032,65.9377,53.299,12.638700000000007
twitter_hate,q1,125,crc-error-mass,35,27,是,93.33302208319716,97.62827396236986,65.8505,55.7039,10.1466
twitter_hate,q1,250,crc-error-mass,69,47,是,87.46906951771791,90.26098323918016,73.5751,71.5884,1.9867000000000132
